0.0 , 12.35 , 7.55 , -10.0 , 80.0 , 4.3 , 10.56 , 2.22 , 1.79 , 5.33
1.0 , 13.25 , 6.85 , -10.6 , 74.0 , 4.1 , 10.56 , 1.11 , 2.69 , 5.74
2.0 , 12.95 , 6.65 , -9.3 , 68.0 , 4.4 , 13.33 , 6.67 , -0.38 , -0.02
3.0 , 9.75 , 7.75 , -8.1 , 91.0 , 4.0 , 6.11 , 3.33 , 3.64 , 4.42
4.0 , 10.95 , 5.75 , -10.8 , 80.0 , 3.2 , 9.44 , 5.0 , 1.51 , 0.75
5.0 , 8.55 , 7.05 , -7.0 , 91.0 , 11.7 , 5.0 , 1.11 , 3.55 , 5.94
6.0 , 10.95 , 7.75 , -10.1 , 87.0 , 9.3 , 7.22 , 3.33 , 3.73 , 4.42
7.0 , 10.85 , 8.25 , -9.7 , 89.0 , 5.4 , 2.78 , -0.56 , 8.07 , 8.81
8.0 , 13.75 , 7.75 , -10.7 , 74.0 , 3.3 , 6.67 , 2.78 , 7.08 , 4.97
9.0 , 16.95 , 8.35 , -10.0 , 55.0 , 3.4 , 7.78 , 2.78 , 9.17 , 5.57
10.0 , 17.45 , 8.55 , -10.8 , 49.0 , 2.0 , 3.89 , 2.22 , 13.56 , 6.33
11.0 , 15.85 , 10.05 , -8.0 , 64.0 , 4.2 , 3.33 , 0.0 , 12.52 , 10.05
12.0 , 12.45 , 8.55 , -7.5 , 80.0 , 2.3 , 10.56 , 5.56 , 1.89 , 2.99
13.0 , 15.55 , 7.55 , -9.8 , 63.0 , 2.8 , 18.89 , 2.22 , -3.34 , 5.33
14.0 , 19.45 , 9.85 , -9.0 , 52.0 , 1.9 , 12.22 , 7.78 , 7.23 , 2.07
15.0 , 21.55 , 10.45 , -10.9 , 45.0 , 1.4 , 17.22 , 11.67 , 4.33 , -1.22
16.0 , 14.75 , 11.25 , -7.6 , 84.0 , 4.1 , 15.56 , 11.11 , -0.81 , 0.14
17.0 , 16.45 , 11.75 , -8.7 , 80.0 , 2.3 , 18.89 , 11.67 , -2.44 , 0.08
18.0 , 17.55 , 11.75 , -9.1 , 74.0 , 3.0 , 16.11 , 10.56 , 1.44 , 1.19
19.0 , 17.75 , 12.55 , -8.5 , 76.0 , 2.3 , 26.11 , 12.22 , -8.36 , 0.33
20.0 , 15.95 , 12.95 , -7.6 , 89.0 , 2.5 , 17.78 , 7.22 , -1.83 , 5.73
21.0 , 16.05 , 11.15 , -8.8 , 83.0 , 1.4 , 12.78 , 9.44 , 3.27 , 1.71
22.0 , 19.55 , 10.85 , -10.3 , 59.0 , 1.7 , 16.11 , 4.44 , 3.44 , 6.41
